id,amount,college,grant,from
1,69035,Fine Arts,Director’s Discretionary Award,State
2,26000,Fine Arts,Innovation Farm Grant,RDI
3,174633,Fine Arts,Faculty Collaboration Grant,State
4,28000,Fine Arts,Graduate Fellowship,Provost
5,49663,Humanities,Director’s Discretionary Award,State
6,7500,Humanities,Innovation Farm Grant,RDI
7,175014,Humanities,Faculty Collaboration Grant,State
8,41096,Humanities,Graduate Fellowship,Provost
9,591669,Humanities,UA 1885 / UA Excellence Award,Provost
10,61410,Social and Behavioral Science,Director’s Discretionary Award,State
11,29000,Social and Behavioral Science,Innovation Farm Grant,RDI
12,465616,Social and Behavioral Science,Faculty Collaboration Grant,State
13,190823,Social and Behavioral Science,Graduate Fellowship,Provost
14,593752,Social and Behavioral Science,UA 1885 / UA Excellence Award,Provost
15,57620,Other,Director’s Discretionary Award,State
16,4500,Other,Innovation Farm Grant,RDI
17,30972,Other,Graduate Fellowship,Provost
18,29994,,Faculty Collaboration Grant,State
19,25000,,Faculty Collaboration Grant,State
20,24427,,Faculty Collaboration Grant,State
21,24963,,Faculty Collaboration Grant,State
22,24942,,Faculty Collaboration Grant,State
23,15000,,Faculty Collaboration Grant,State
24,29804,,Faculty Collaboration Grant,State
25,29861,,Faculty Collaboration Grant,State
26,22982,,Faculty Collaboration Grant,State
27,28033,,Faculty Collaboration Grant,State
28,29425,,Faculty Collaboration Grant,State
29,25797,,Faculty Collaboration Grant,State
30,30000,,Faculty Collaboration Grant,State
31,25000,,Faculty Collaboration Grant,State
32,7500,,Faculty Collaboration Grant,State
33,25000,,Faculty Collaboration Grant,State
34,24903,,Faculty Collaboration Grant,State
35,24996,,Faculty Collaboration Grant,State
36,24994,,Faculty Collaboration Grant,State
37,25000,,Faculty Collaboration Grant,State
38,25000,,Faculty Collaboration Grant,State
39,24909,,Faculty Collaboration Grant,State
40,24999,,Faculty Collaboration Grant,State
41,24974,,Faculty Collaboration Grant,State
42,24882,,Faculty Collaboration Grant,State
43,8000,,Faculty Collaboration Grant,State
44,18796,,Faculty Collaboration Grant,State
45,20000,,Faculty Collaboration Grant,State
46,20000,,Faculty Collaboration Grant,State
47,10000,,Faculty Collaboration Grant,State
48,15800,,Faculty Collaboration Grant,State
49,15000,,Faculty Collaboration Grant,State
50,14338,,Faculty Collaboration Grant,State
51,15000,,Faculty Collaboration Grant,State
52,14767,,Faculty Collaboration Grant,State
53,12360,,Faculty Collaboration Grant,State
54,13817,,Faculty Collaboration Grant,State
55,15000,,Faculty Collaboration Grant,State
